name,country,role,bat_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s
ajinkya rahane,india,batsman,right-handed-bat,2,375,20.83,113.3,1,32,6,17,4642,30.14,123.43,30,478,103
philip salt,england,wk-batsman,right-handed-bat,5,1193,34.09,164.33,5,116,61,2,653,34.37,175.54,6,74,34
rilee rossouw,south africa,batsman,left-handed-bat,5,767,34.86,159.8,3,69,39,2,473,23.65,153.58,2,45,25
srikar bharat,india,wk-batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,2,199,28.43,122.09,1,12,8
n jagadeesan,india,wk-batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,1,162,18.0,110.21,0,21,2
mandeep singh,india,batsman,right-handed-bat,1,87,43.5,119.18,1,11,1,16,1706,20.8,122.92,6,176,38
litton das,bangladesh,wk-batsman,right-handed-bat,3,2021,22.46,124.84,11,210,58,0,4,4.0,100.0,0,1,0
nicholas pooran,west indies,wk-batsman,left-handed-bat,10,2275,26.15,136.4,13,152,149,18,1769,32.16,162.3,9,112,127
vishnu vinod,india,wk-batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,0,56,9.33,98.25,0,3,3
harpreet singh bhatia,india,batsman,left-handed-bat,0,0,0.0,0.0,0,0,0,1,123,17.57,103.37,0,10,3
donovan ferreira,south africa,wk-batsman,right-handed-bat,0,79,15.8,158.0,0,2,6,0,8,4.0,72.73,0,0,0
harry brook,england,batsman,right-handed-bat,9,798,28.5,146.16,4,65,34,2,190,21.11,123.38,0,23,4
heinrich klaasen,south africa,wk-batsman,right-handed-bat,10,1000,23.26,141.85,5,72,52,6,993,38.19,168.31,6,56,64
anmolpreet singh,india,batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,0,139,15.44,120.87,0,19,3
mayank agarawal,india,batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,4,2665,22.78,133.25,13,264,98
sameer rizvi,india,batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,1,51,12.75,118.61,0,4,2
ricky bhui,india,batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,0,10,2.5,38.47,0,0,0
shai hope,west indies,wk-batsman,right-handed-bat,5,847,26.47,138.4,5,69,44,1,183,22.88,150.0,0,12,12
kumar kushagra,india,wk-batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,0,3,1.0,42.86,0,0,0
tristan stubbs,south africa,wk-batsman,right-handed-bat,6,670,29.13,134.81,2,57,28,6,405,36.82,173.82,3,26,26
angkrish raghuvanshi,india,batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,0,163,23.29,155.24,1,16,8
naman dhir,india,batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,1,140,23.33,177.22,1,12,10
shubham dubey,india,batsman,left-handed-bat,0,0,0.0,0.0,0,0,0,1,33,16.5,173.69,0,3,2
rovman powell,west indies,batsman,right-handed-bat,11,1747,25.69,140.33,8,99,117,3,360,18.95,147.55,1,21,28
tom kohler-cadmore,england,wk-batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,0,48,16.0,88.89,0,7,1
saurav chauhan,india,wk-batsman,left-handed-bat,0,0,0.0,0.0,0,0,0,0,18,6.0,120.0,0,1,1
travis head,australia,batsman,left-handed-bat,4,1093,33.12,160.5,5,114,53,4,772,36.76,173.88,5,76,40
devon conway,new zealand,wk-batsman,left-handed-bat,9,1408,38.05,127.77,10,135,37,3,924,48.63,141.29,9,99,30
rahul tripathi,india,batsman,right-handed-bat,0,97,19.4,144.78,0,11,5,10,2236,26.94,139.32,12,223,84
kl rahul,india,wk-batsman,right-handed-bat,8,2265,37.75,139.13,22,191,99,20,4683,45.47,134.61,37,400,187
jake fraser-mcgurk,australia,batsman,right-handed-bat,0,113,16.14,143.04,1,16,3,0,330,36.67,234.05,4,32,28
faf du plessis,south africa,batsman,right-handed-bat,7,1528,35.53,134.39,10,140,50,11,4571,35.99,136.37,37,421,166
karun nair,india,batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,5,1496,23.75,127.76,10,161,39
jos buttler,england,wk-batsman,right-handed-bat,23,3535,35.35,146.62,26,322,152,12,3582,38.11,147.53,19,355,161
anuj rawat,india,wk-batsman,left-handed-bat,0,0,0.0,0.0,0,0,0,5,318,19.88,119.11,1,26,14
quinton de kock,south africa,wk-batsman,left-handed-bat,9,2584,31.51,138.33,16,264,103,6,3157,31.26,134.23,23,316,123
rahmanullah gurbaz,afghanistan,wk-batsman,right-handed-bat,0,1683,25.5,134.43,10,128,95,0,289,22.23,133.8,2,24,19
rishabh pant,india,wk-batsman,left-handed-bat,14,1209,23.25,127.4,3,111,44,17,3284,35.31,148.94,18,296,154
david miller,south africa,batsman,left-handed-bat,36,2593,33.24,140.78,8,168,130,43,2924,36.1,139.24,13,207,134
aiden markram,south africa,batsman,right-handed-bat,8,1367,30.38,143.9,9,123,56,9,995,30.15,129.73,5,73,35
matthew breetzke,south africa,wk-batsman,right-handed-bat,1,151,16.78,122.77,1,13,6,0,0,0.0,0.0,0,0,0
ryan rickelton,south africa,wk-batsman,left-handed-bat,0,263,20.23,134.88,1,18,16,0,0,0.0,0.0,0,0,0
josh inglis,australia,wk-batsman,right-handed-bat,5,706,30.7,156.89,0,67,28,0,0,0.0,0.0,0,0,0
nitish rana,india,batsman,left-handed-bat,0,15,7.5,55.56,0,0,0,8,2636,28.34,135.05,18,234,132
jitesh sharma,india,wk-batsman,right-handed-bat,0,100,14.29,147.06,0,11,4,4,730,22.81,151.14,0,53,45
tim david,australia,batsman,right-handed-bat,12,1201,33.36,161.21,6,101,65,12,659,28.65,170.29,0,38,46
devdutt padikkal,india,batsman,left-handed-bat,0,38,19.0,100.0,0,2,1,2,1559,25.15,123.15,9,169,42
ishan kishan,india,wk-batsman,left-handed-bat,1,796,25.68,124.38,6,79,36,6,2644,28.43,135.87,16,255,119
abhinav manohar,india,batsman,right-handed-bat,0,0,0.0,0.0,0,0,0,1,231,16.5,132.76,0,21,10
sachin baby,india,batsman,left-handed-bat,0,0,0.0,0.0,0,0,0,2,144,16.0,122.04,0,11,5
atharva taide,india,batsman,left-handed-bat,0,0,0.0,0.0,0,0,0,0,247,27.44,147.03,2,27,8
